OBJECTID,Well_IDKey,Well_Name,Well_Depth,Well_Casing_Stickup,Well_Location_Latitude,Well_Location_Longitude,Well_Location_Elevation,Well_OSE_Permit,Well_Type,GlobalID,NMT_ID,IndexDesignation,AquiferCode,ScreenInterval,CreationDate,Creator,EditDate,Editor,x,y
83,33,EMC NE 23,340,1.37,35.140589,-106.300129,6795.832,S-1283,DOM,2a5c70f7-621c-4f0e-801c-812d42afe4de,BC-0042,Y,325MDER,,2024-05-08T21:25:55,ccarsrud_EH,2025-06-02T14:38:38,pheinstein_NRS,-106.300129,35.140589
84,34,EMC NE 24,580,1.78,35.144818,-106.348565,6989.752,S-1042,DOM,81a6020e-1dd5-4f27-b5d6-faac2dd6f8cc,BC-0043,Y,,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-21T18:49:13,pheinstein_NRS,-106.348565,35.144818
85,35,EMC NE 25,240,1.72,35.114646,-106.30596,6862.176,S-507,DOM,44c3307c-151e-4b5f-bf0d-671d0eb4d11a,BC-0044,Y,325MDER,200 - 240,2024-05-08T21:25:55,ccarsrud_EH,2025-06-02T14:39:44,pheinstein_NRS,-106.30596,35.1146460000001
86,36,Z - EMC NE 26,0,1.02,35.118899,-106.30272,6905.135,S-03004-POD1,DOM,6f075030-5501-4fff-91c0-197f752001f3,BC-0045,Z,325MDER,,2024-05-08T21:25:55,ccarsrud_EH,2025-06-03T14:45:24,pheinstein_NRS,-106.30272,35.1188990000001
87,37,EMC NE 27,392,0.46,35.113436,-106.336346,6812.35,02738,DOM,62ae99c1-0505-4384-adea-74fe5b6208fc,BC-0046,M,,,2024-05-08T21:25:55,ccarsrud_EH,2025-06-02T14:41:33,pheinstein_NRS,-106.336346,35.113436
88,38,EMC NE 28,245,1.68,35.147246,-106.286927,6837.441,S-1866,DOM,f5a5805a-3f32-45ce-b895-3b459b2dc326,BC-0047,Y,325MDER,,2024-05-08T21:25:55,ccarsrud_EH,2025-06-02T14:43:08,pheinstein_NRS,-106.286927,35.1472460000001
89,39,EMC NE 29,485,0.46,35.151758,-106.347886,6973.198,S-0410,DOM,832140c2-1ac1-4c11-ba80-f6b16eb3ae04,BC-0048,Y,,,2024-05-08T21:25:55,ccarsrud_EH,2025-06-02T14:45:32,pheinstein_NRS,-106.347886,35.151758
90,41,Z - EMC NE 30,325,1.9,35.145914,-106.340873,6904.315,S-1698,DOM,0edea54e-f3a0-4373-b72a-57862ecc18a1,BC-0050,Z,,,2024-05-08T21:25:55,ccarsrud_EH,2025-06-03T14:38:18,pheinstein_NRS,-106.340873,35.1459140000001
91,42,Z - EMC NE 31,245,1.95,35.135516,-106.34223,6944.08,S-379,DOM,8f6c99b4-e071-40f7-b11f-7f5d98a00587,BC-0051,Z,211MVRD,,2024-05-08T21:25:55,ccarsrud_EH,2025-06-03T14:29:19,pheinstein_NRS,-106.34223,35.1355160000001
92,44,EMC NE 33,240,2.07,35.115748,-106.305948,6850.781,S-1302,DOM,7acd6990-8a5d-47fe-bfb7-080862d5d080,BC-0053,Y,325MDER,200 - 240,2024-05-08T21:25:55,ccarsrud_EH,2025-06-02T16:03:42,pheinstein_NRS,-106.305948,35.1157480000001
